#S 1
#D #D Sat Nov 2 15:25:30 2024
#U blowerT 25.0
#V signal fl
#V reference tr
#V E0 24353.538239071648
#V refE0 24350.0
#V blowerT 25.0
#V J0 165668859985.5537
#L E               x
   2.442167e+04    +3.922600e-02
   2.442265e+04    +4.177812e-02
   2.442353e+04    +4.861253e-02
   2.442452e+04    +5.366916e-02
   2.442548e+04    +5.313227e-02
   2.442642e+04    +6.054275e-02
   2.442742e+04    +5.651799e-02
   2.442837e+04    +6.435807e-02
   2.442938e+04    +5.956084e-02
   2.443032e+04    +5.448594e-02
   2.443126e+04    +5.183339e-02
   2.443228e+04    +5.319409e-02
   2.443322e+04    +5.113632e-02
   2.443420e+04    +3.998682e-02
   2.443515e+04    +3.555442e-02
   2.443614e+04    +3.669361e-02
   2.443706e+04    +3.262730e-02
   2.443800e+04    +3.318532e-02
   2.443898e+04    +2.431258e-02
   2.443994e+04    +2.404806e-02
   2.444091e+04    +2.554122e-02
   2.444187e+04    +2.212398e-02
   2.444278e+04    +2.471396e-02
   2.444377e+04    +2.665715e-02
   2.444476e+04    +3.256933e-02
   2.444574e+04    +3.088325e-02
   2.444667e+04    +2.748823e-02
   2.444763e+04    +2.688220e-02
   2.444855e+04    +3.135629e-02
   2.444956e+04    +2.633514e-02
   2.445053e+04    +2.830822e-02
   2.445153e+04    +2.712731e-02
   2.445250e+04    +2.033504e-02
   2.445344e+04    +2.244035e-02
   2.445441e+04    +1.903509e-02
   2.445547e+04    +1.099829e-02
   2.445646e+04    +8.745770e-03
   2.445748e+04    +1.263509e-02
   2.445844e+04    +8.393028e-03
   2.445933e+04    +7.424321e-03
   2.446036e+04    +7.257423e-03
   2.446139e+04    -8.960167e-04
   2.446234e+04    +2.348147e-03
   2.446321e+04    -5.684518e-03
   2.446422e+04    -2.403407e-03
   2.446520e+04    -1.409686e-02
   2.446615e+04    -5.483323e-03
   2.446714e+04    -2.739199e-03
   2.446809e+04    -1.277022e-02
   2.446911e+04    -4.545861e-03
   2.446999e+04    -8.478647e-03
   2.447105e+04    -9.036974e-03
   2.447202e+04    -1.100531e-02
   2.447296e+04    -8.072662e-03
   2.447393e+04    -1.141602e-02
   2.447487e+04    -1.127398e-02
   2.447586e+04    -1.391208e-02
   2.447682e+04    -1.364422e-02
   2.447786e+04    -1.165267e-02
   2.447879e+04    -1.339445e-02
   2.447984e+04    -1.286474e-02
   2.448078e+04    -1.237784e-02
   2.448180e+04    -1.621695e-02
   2.448276e+04    -1.659212e-02
   2.448371e+04    -1.360391e-02
   2.448467e+04    -4.895318e-03
   2.448567e+04    -9.554909e-03
   2.448670e+04    -4.278191e-03
   2.448763e+04    -2.392903e-03
   2.448863e+04    -4.055695e-03
   2.448958e+04    +2.189177e-03
   2.449060e+04    +6.203144e-03
   2.449161e+04    +1.283893e-02
   2.449253e+04    +1.047032e-02
   2.449351e+04    +1.732817e-02
   2.449452e+04    +8.366673e-03
   2.449544e+04    +6.315212e-03
   2.449639e+04    +1.941697e-02
   2.449732e+04    +1.895415e-02
   2.449838e+04    +1.778243e-02
   2.449928e+04    +2.202119e-02
   2.450028e+04    +1.944997e-02
   2.450126e+04    +1.876559e-02
   2.450229e+04    +2.407462e-02
   2.450320e+04    +1.640132e-02
   2.450418e+04    +2.363707e-02
   2.450512e+04    +2.252335e-02
   2.450620e+04    +2.290127e-02
   2.450713e+04    +2.412081e-02
   2.450811e+04    +2.225654e-02
   2.450903e+04    +2.573559e-02
   2.451003e+04    +2.097441e-02
   2.451100e+04    +1.861811e-02
   2.451196e+04    +2.718830e-02
   2.451288e+04    +2.201295e-02
   2.451392e+04    +2.115444e-02
   2.451490e+04    +1.837213e-02
   2.451587e+04    +1.408277e-02
   2.451679e+04    +2.325272e-02
   2.451781e+04    +1.650855e-02
   2.451880e+04    +2.094015e-02
   2.451974e+04    +1.700063e-02
   2.452067e+04    +2.516618e-02
   2.452165e+04    +1.630133e-02
   2.452265e+04    +1.570227e-02
   2.452364e+04    +2.090861e-02
   2.452464e+04    +1.285721e-02
   2.452560e+04    +1.695597e-02
   2.452666e+04    +1.994681e-02
   2.452761e+04    +2.102053e-02
   2.452858e+04    +2.017416e-02
   2.452951e+04    +1.854443e-02
   2.453053e+04    +2.391448e-02
   2.453141e+04    +1.654602e-02
   2.453244e+04    +5.862154e-03
   2.453347e+04    +1.434094e-02
   2.453445e+04    +1.607726e-02
   2.453538e+04    +1.648639e-02
   2.453638e+04    +1.549997e-02
   2.453736e+04    +1.691630e-02
   2.453830e+04    +1.252189e-02
   2.453934e+04    +1.331325e-02
   2.454032e+04    +1.218742e-02
   2.454132e+04    +1.497916e-02
   2.454234e+04    +1.135835e-02
   2.454321e+04    +1.359190e-02
   2.454423e+04    +4.123105e-03
   2.454518e+04    +1.466533e-02
   2.454618e+04    +1.242706e-02
   2.454719e+04    +1.066570e-02
   2.454810e+04    +1.213967e-02
   2.454902e+04    +1.253301e-02
   2.455006e+04    +1.392448e-02
   2.455100e+04    +1.357864e-02
   2.455204e+04    +1.073483e-02
   2.455301e+04    +1.757579e-02
   2.455397e+04    +1.296003e-02
