#L E_Pd_01_0001    x_Pd_01_0001    E_Pd_01_0002    x_Pd_01_0002    E_Pd_01_0003    x_Pd_01_0003    E_Pd_01_0004    x_Pd_01_0004    E_Pd_01_0005    x_Pd_01_0005
   2.424577e+04    +5.588040e-04   2.424571e+04    +1.963455e-04   2.424580e+04    -8.136340e-04   2.424567e+04    -5.502354e-04   2.424572e+04    -2.078170e-04
   2.424668e+04    +1.202263e-05   2.424666e+04    -2.373394e-04   2.424675e+04    +6.099240e-05   2.424653e+04    -6.418525e-04   2.424664e+04    -2.819672e-04
   2.424755e+04    -1.231372e-03   2.424760e+04    -5.241465e-04   2.424761e+04    -4.770544e-04   2.424750e+04    -4.493670e-04   2.424754e+04    -5.841831e-04
   2.424853e+04    -6.164950e-04   2.424855e+04    -9.201606e-04   2.424858e+04    -5.716770e-04   2.424847e+04    -5.525759e-04   2.424855e+04    -9.377566e-04
   2.424947e+04    -7.064024e-05   2.424947e+04    -9.041470e-04   2.424954e+04    -8.211061e-04   2.424939e+04    -1.923730e-04   2.424943e+04    +1.832350e-05
   2.425036e+04    +4.091922e-04   2.425036e+04    +2.253335e-04   2.425046e+04    +3.937897e-04   2.425023e+04    -5.935869e-04   2.425037e+04    +2.455695e-04
   2.425124e+04    -1.446964e-03   2.425128e+04    -4.057158e-05   2.425139e+04    +1.576936e-04   2.425115e+04    +3.042874e-04   2.425132e+04    +1.418060e-04
   2.425220e+04    -6.818284e-04   2.425222e+04    -6.634341e-04   2.425231e+04    -5.975229e-04   2.425210e+04    -4.368335e-04   2.425220e+04    -1.186244e-03
   2.425312e+04    -8.207780e-04   2.425316e+04    +5.646032e-04   2.425323e+04    -1.295731e-03   2.425304e+04    +1.270868e-05   2.425315e+04    +8.489067e-04
   2.425410e+04    +4.214382e-04   2.425408e+04    +5.497393e-04   2.425416e+04    +5.080499e-05   2.425400e+04    -6.160432e-05   2.425406e+04    -1.015692e-03
   2.425501e+04    -2.717361e-04   2.425501e+04    -1.954932e-04   2.425508e+04    -1.185126e-03   2.425490e+04    -5.571742e-04   2.425504e+04    -5.778700e-04
   2.425594e+04    -5.929632e-04   2.425601e+04    -1.417715e-04   2.425605e+04    +2.588534e-05   2.425582e+04    +1.833158e-04   2.425593e+04    -3.847419e-06
   2.425684e+04    +2.032805e-05   2.425692e+04    -7.945295e-04   2.425693e+04    -4.787953e-05   2.425678e+04    -3.759299e-04   2.425690e+04    -2.482662e-04
   2.425778e+04    +1.041818e-03   2.425779e+04    +9.742487e-04   2.425791e+04    +6.979373e-04   2.425771e+04    -8.302384e-05   2.425776e+04    -5.677805e-04
   2.425870e+04    -2.869042e-04   2.425872e+04    -7.555367e-04   2.425885e+04    -9.046886e-04   2.425868e+04    -2.988692e-05   2.425868e+04    -4.077711e-05
   2.425978e+04    +7.269653e-04   2.425970e+04    -2.235897e-04   2.425984e+04    -2.218852e-04   2.425968e+04    -2.220920e-04   2.425968e+04    -5.685289e-08
   2.426064e+04    +1.656050e-04   2.426064e+04    -1.696189e-03   2.426073e+04    +1.025757e-03   2.426056e+04    +5.091122e-04   2.426064e+04    -1.198255e-04
   2.426153e+04    -3.177465e-04   2.426148e+04    +4.476630e-04   2.426170e+04    +9.461056e-05   2.426139e+04    +6.586491e-04   2.426158e+04    +1.104343e-03
   2.426250e+04    +2.856416e-04   2.426242e+04    +8.062529e-04   2.426264e+04    +4.956189e-05   2.426244e+04    -1.513342e-03   2.426248e+04    +5.971024e-04
   2.426348e+04    +1.123059e-03   2.426337e+04    +8.436003e-04   2.426348e+04    +1.655934e-04   2.426338e+04    +7.867684e-05   2.426342e+04    -1.891260e-04
   2.426434e+04    +2.047068e-04   2.426430e+04    -6.929639e-05   2.426443e+04    +5.238153e-04   2.426429e+04    +2.891131e-04   2.426436e+04    +4.002087e-04
   2.426528e+04    -6.790472e-04   2.426526e+04    +3.112276e-04   2.426542e+04    +6.054811e-05   2.426518e+04    +5.983888e-04   2.426531e+04    +1.688504e-04
   2.426623e+04    -3.604197e-04   2.426611e+04    +5.976483e-04   2.426628e+04    +5.114637e-05   2.426607e+04    +8.120415e-04   2.426627e+04    +6.505392e-05
   2.426717e+04    +2.285656e-04   2.426713e+04    +3.970113e-04   2.426722e+04    +6.835572e-04   2.426706e+04    -5.304572e-05   2.426715e+04    +3.160382e-04
   2.426809e+04    -2.717730e-04   2.426810e+04    -3.937647e-04   2.426822e+04    +1.167364e-03   2.426798e+04    +4.021429e-04   2.426809e+04    +1.059519e-03
   2.426906e+04    +6.295754e-04   2.426909e+04    +4.166499e-04   2.426918e+04    +4.949229e-04   2.426899e+04    +9.897048e-04   2.426898e+04    +6.050826e-04
   2.427000e+04    +6.906561e-04   2.426995e+04    +9.048702e-04   2.427011e+04    +1.938283e-04   2.426988e+04    +8.023221e-04   2.426996e+04    +7.633059e-04
   2.427090e+04    +9.889625e-05   2.427094e+04    +5.846343e-04   2.427101e+04    +5.506798e-04   2.427073e+04    -1.126163e-04   2.427090e+04    +5.277812e-04
   2.427183e+04    +1.209464e-03   2.427179e+04    +9.787188e-04   2.427198e+04    +1.443106e-03   2.427174e+04    +1.239907e-04   2.427183e+04    +1.308392e-03
   2.427274e+04    +8.097959e-04   2.427277e+04    +7.434288e-04   2.427288e+04    +1.509291e-05   2.427269e+04    +7.150347e-04   2.427271e+04    +2.032170e-03
   2.427369e+04    +7.459789e-04   2.427367e+04    -8.455181e-05   2.427386e+04    +1.996570e-03   2.427363e+04    +1.511672e-03   2.427374e+04    +8.298119e-04
   2.427469e+04    +1.199699e-03   2.427465e+04    +4.770124e-05   2.427477e+04    +1.639675e-03   2.427457e+04    +1.220438e-03   2.427463e+04    +2.298650e-04
   2.427559e+04    +1.281164e-03   2.427555e+04    +7.688869e-04   2.427569e+04    +1.429537e-03   2.427547e+04    +5.523556e-04   2.427565e+04    +1.162149e-04
   2.427652e+04    +1.686258e-03   2.427652e+04    +4.051624e-04   2.427661e+04    +8.153089e-04   2.427644e+04    +1.697962e-03   2.427653e+04    +1.299836e-03
   2.427752e+04    +1.379203e-03   2.427743e+04    +1.026686e-04   2.427751e+04    +2.563196e-03   2.427735e+04    +9.876459e-04   2.427751e+04    +1.751941e-03
   2.427838e+04    +1.915796e-03   2.427834e+04    +1.264632e-03   2.427849e+04    +1.008677e-03   2.427826e+04    +1.203411e-03   2.427841e+04    +5.944030e-04
   2.427931e+04    +1.162437e-03   2.427928e+04    +1.436261e-03   2.427942e+04    +1.689621e-03   2.427924e+04    +1.379030e-03   2.427932e+04    +1.530624e-03
   2.428031e+04    +1.969342e-03   2.428022e+04    +6.890028e-04   2.428033e+04    +2.693344e-03   2.428018e+04    +1.905772e-03   2.428028e+04    +2.283125e-03
   2.428121e+04    +1.271601e-03   2.428123e+04    +1.895160e-03   2.428130e+04    +1.839145e-03   2.428111e+04    +1.943665e-03   2.428124e+04    +1.833117e-03
   2.428213e+04    +2.358715e-03   2.428215e+04    +1.077109e-03   2.428227e+04    +3.109924e-03   2.428205e+04    +1.838943e-03   2.428213e+04    +1.007946e-03
   2.428305e+04    +9.751891e-04   2.428307e+04    +2.232078e-03   2.428324e+04    +2.527888e-03   2.428300e+04    +1.770725e-03   2.428312e+04    +2.438612e-03
